"Año","Promedio_Ocupantes_Por_Vivienda","viviendas_habitadas","viviendas_deshabitadas"
"1995","4.20000000000000000000","238770.00000000000000000000",NA
"2000","4.10000000000000000000","293486.00000000000000000000",NA
"2005","3.90000000000000000000","338900.00000000000000000000",70434
"2010","3.68000000000000000000","364562.00000000000000000000",111103
"2015","3.52863890000000000000","394254.00000000000000000000",NA
"2020","3.35059788452847000000","449452.00000000000000000000",56379
