"Año","viviendas_habitadas"
"1995","238770.00000000000000000000"
"2000","293486.00000000000000000000"
"2005","338900.00000000000000000000"
"2010","364562.00000000000000000000"
"2015","394254.00000000000000000000"
"2020","449452.00000000000000000000"
