"Año","Promedio_Ocupantes_Por_Vivienda"
"1995","4.20000000000000000000"
"2000","4.10000000000000000000"
"2005","3.90000000000000000000"
"2010","3.68000000000000000000"
"2015","3.52863890000000000000"
"2020","3.35059788452847000000"
